id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2629219864,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-250m2-venda-RS5300000-id-2629219864/,"Apartamento com 4 Quartos à Venda, 250m²","Rua Flórida, 320 - Brooklin, São Paulo - SP",250,4 Quartos,6 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 5.300.000,R$ 3.500,Brooklin,2023-07-09 14:17
2638442855,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-84m2-venda-RS1590000-id-2638442855/,"Apartamento com 2 Quartos à Venda, 84m²","Rua Kansas - Brooklin, São Paulo - SP",84,2 Quartos,2 Banheiros,2 Vagas,"Churrasqueira
Varanda
Academia
Área de serviço
Piscina infantil
...",R$ 1.590.000,R$ 1.500,Brooklin,2023-07-09 14:17
2615835803,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-120m2-venda-RS2128000-id-2615835803/,"Apartamento com 3 Quartos à Venda, 120m²","Rua Nova York, 539 - Brooklin, São Paulo - SP",120,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Ar-condicionado
Área de serviço
Playground
...",R$ 2.128.000,R$ 1.940,Brooklin,2023-07-09 14:17
2620368275,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-116m2-venda-RS1100000-id-2620368275/,"Apartamento com 3 Quartos à Venda, 116m²","Rua Barão do Triunfo - Brooklin, São Paulo - SP",116,3 Quartos,4 Banheiros,3 Vagas,"Piscina
Academia
Aceita animais
Garagem
Área de serviço
...","R$ 1.100.000
Preço abaixo do mercado",R$ 1.670,Brooklin,2023-07-09 14:17
2643016112,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-131m2-venda-RS1595000-id-2643016112/,"Apartamento com 3 Quartos à Venda, 131m²","Avenida Portugal, 277 - Brooklin, São Paulo - SP",131,3 Quartos,4 Banheiros,2 Vagas,Interfone,R$ 1.595.000,R$ 1.561,Brooklin,2023-07-09 14:17
2571123319,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-178m2-venda-RS2670000-id-2571123319/,"Apartamento com 3 Quartos à Venda, 178m²","Rua Barão do Triunfo, 1052 - Brooklin, São Paulo - SP",178,3 Quartos,3 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Ar-condicionado
Área de serviço
...",R$ 2.670.000,R$ 1.600,Brooklin,2023-07-09 14:17
2637504590,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-134m2-venda-RS2299970-id-2637504590/,"Apartamento com 3 Quartos à Venda, 134m²","Rua Pensilvânia, 1342 - Brooklin, São Paulo - SP",134,3 Quartos,5 Banheiros,3 Vagas,"Churrasqueira
Área de serviço
Playground
Salão de festas
Quadra poliesportiva
...",R$ 2.299.970,R$ 1.330,Brooklin,2023-07-09 14:17
2625657531,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-69m2-venda-RS1190000-id-2625657531/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Professor José Leite e Oiticica, 434 - Brooklin, São Paulo - SP",69,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 1.190.000,R$ 950,Brooklin,2023-07-09 14:17
2624519734,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-108m2-venda-RS1530000-id-2624519734/,"Apartamento com 3 Quartos à Venda, 108m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",108,3 Quartos,3 Banheiros,2 Vagas,,R$ 1.530.000,R$ 10,Brooklin,2023-07-09 14:17
2580418977,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-100m2-venda-RS990000-id-2580418977/,"Apartamento com 2 Quartos à Venda, 100m²","Rua Indiana, 240 - Brooklin, São Paulo - SP",100,2 Quartos,3 Banheiros,2 Vagas,"Varanda
Ar-condicionado
Jardim
Playground
Salão de festas
...","R$ 990.000
Preço abaixo do mercado",R$ 1.752,Brooklin,2023-07-09 14:17
2639062976,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-150m2-venda-RS1469980-id-2639062976/,"Apartamento com 3 Quartos à Venda, 150m²","Rua Nebraska, 497 - Brooklin, São Paulo - SP",150,3 Quartos,2 Banheiros,2 Vagas,"Playground
Salão de festas
Área de serviço",R$ 1.469.980,R$ 1.846,Brooklin,2023-07-09 14:17
2633172389,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-98m2-venda-RS850000-id-2633172389/,"Apartamento com 2 Quartos à Venda, 98m²","Rua Indiana, 367 - Brooklin, São Paulo - SP",98,2 Quartos,2 Banheiros,1 Vaga,"Cozinha
Elevador
Interfone
Vista para o mar","R$ 850.000
Preço abaixo do mercado",R$ 1.972,Brooklin,2023-07-09 14:17
2642251110,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-120m2-venda-RS899980-id-2642251110/,"Apartamento com 3 Quartos à Venda, 120m²","Avenida Santo Amaro, 5328 - Brooklin, São Paulo - SP",120,3 Quartos,3 Banheiros,2 Vagas,"Playground
Quadra poliesportiva
Salão de jogos
Salão de festas",R$ 899.980,R$ 1.300,Brooklin,2023-07-09 14:17
2582713435,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-138m2-venda-RS2300000-id-2582713435/,"Apartamento com 3 Quartos à Venda, 138m²","Avenida Portugal, 1048 - Brooklin, São Paulo - SP",138,3 Quartos,5 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...",R$ 2.300.000,R$ 1.600,Brooklin,2023-07-09 14:17
2642797727,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-112m2-venda-RS1450000-id-2642797727/,"Apartamento com 2 Quartos à Venda, 112m²","Avenida Portugal - Brooklin, São Paulo - SP",112,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Mobiliado
Academia
Espaço gourmet
Garagem
...",R$ 1.450.000,R$ 1.701,Brooklin,2023-07-09 14:17
2626677253,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1790000-id-2626677253/,"Apartamento com 3 Quartos à Venda, 170m²","Rua Guaraiúva - Brooklin, São Paulo - SP",170,3 Quartos,3 Banheiros,3 Vagas,"Piscina
Churrasqueira
Academia
Aceita animais
Ar-condicionado
...",R$ 1.790.000,R$ 2.330,Brooklin,2023-07-09 14:17
2608099535,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-131m2-venda-RS3290000-id-2608099535/,"Apartamento com 2 Quartos à Venda, 131m²","Rua Michigan - Brooklin, São Paulo - SP",131,2 Quartos,4 Banheiros,2 Vagas,"Piscina
Aceita animais
Playground
Varanda gourmet
Piscina infantil
...",R$ 3.290.000,R$ 1.100,Brooklin,2023-07-09 14:17
2631532346,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-138m2-venda-RS2120000-id-2631532346/,"Apartamento com 3 Quartos à Venda, 138m²","Avenida Portugal, 1048 - Brooklin, São Paulo - SP",138,3 Quartos,4 Banheiros,-- Vaga,,R$ 2.120.000,R$ 1.900,Brooklin,2023-07-09 14:17
2639137242,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-46m2-venda-RS528990-id-2639137242/,"Apartamento com Quarto à Venda, 46m²","Rua Indiana, 86 - Brooklin, São Paulo - SP",46,1 Quarto,1 Banheiro,1 Vaga,"Playground
Salão de festas
Área de serviço",R$ 528.990,R$ 615,Brooklin,2023-07-09 14:17
2595416368,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-71m2-venda-RS1280000-id-2595416368/,"Apartamento com 2 Quartos à Venda, 71m²","Rua das Margaridas, 200 - Brooklin, São Paulo - SP",71,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Condomínio fechado
Varanda
Academia
...",R$ 1.280.000,R$ 675,Brooklin,2023-07-09 14:17
2635404757,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-74m2-venda-RS889300-id-2635404757/,"Apartamento com 2 Quartos à Venda, 74m²","Rua Andréa Paulinetti, 234 - Brooklin, São Paulo - SP",74,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 889.300,R$ 1,Brooklin,2023-07-09 14:17
2642642925,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-172m2-venda-RS1400000-id-2642642925/,"Apartamento com 3 Quartos à Venda, 172m²","Rua Barão do Triunfo - Brooklin, São Paulo - SP",172,3 Quartos,3 Banheiros,3 Vagas,"Piscina
Varanda
Aceita animais
Área de serviço
Playground
...",R$ 1.400.000,R$ 3.300,Brooklin,2023-07-09 14:17
2597562988,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-167m2-venda-RS2150000-id-2597562988/,"Apartamento com 3 Quartos à Venda, 167m²","Rua Princesa Isabel, 89 - Brooklin, São Paulo - SP",167,3 Quartos,4 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...",R$ 2.150.000,R$ 2.500,Brooklin,2023-07-09 14:17
2609879738,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1250000-id-2609879738/,"Apartamento com Quarto à Venda, 70m²","Rua Jean Peltier, 311 - Brooklin, São Paulo - SP",70,1 Quarto,1 Banheiro,1 Vaga,"Ar-condicionado
Mobiliado
Piscina
Sauna",R$ 1.250.000,R$ 999,Brooklin,2023-07-09 14:17
2578560243,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1115000-id-2578560243/,"Apartamento com 2 Quartos à Venda, 66m²","Avenida Portugal, 1223 - Brooklin, São Paulo - SP",66,2 Quartos,2 Banheiros,1 Vaga,"Lavanderia
Piscina
Playground
Varanda
Salão de festas",R$ 1.115.000,R$ 900,Brooklin,2023-07-09 14:17
2642854194,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-131m2-venda-RS1595000-id-2642854194/,"Apartamento com 3 Quartos à Venda, 131m²","Avenida Portugal, 277 - Brooklin, São Paulo - SP",131,3 Quartos,4 Banheiros,2 Vagas,,R$ 1.595.000,R$ 1.561,Brooklin,2023-07-09 14:17
2639822639,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1300000-id-2639822639/,"Apartamento com 2 Quartos à Venda, 70m²","Avenida Engenheiro Luiz Carlos Berrini - Brooklin, São Paulo - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Varanda
Aceita animais
Ar-condicionado
...",R$ 1.300.000,R$ 800,Brooklin,2023-07-09 14:17
2554825672,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-158m2-venda-RS2730000-id-2554825672/,"Apartamento com 4 Quartos à Venda, 158m²","Rua Michigan - Brooklin, São Paulo - SP",158,4 Quartos,2 Banheiros,4 Vagas,"Piscina
Churrasqueira
Quadra poliesportiva
Closet
Lavanderia
...",R$ 2.730.000,R$ 1.580,Brooklin,2023-07-09 14:17
2633453451,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-32m2-venda-RS540000-id-2633453451/,"Apartamento com Quarto à Venda, 32m²","Rua Professor José Leite e Oiticica, 434 - Brooklin, São Paulo - SP",32,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 540.000,R$ 400,Brooklin,2023-07-09 14:17
2490985559,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-256m2-venda-RS1750000-id-2490985559/,"Apartamento com 4 Quartos à Venda, 256m²","Rua Nova York, 970 - Brooklin, São Paulo - SP",256,4 Quartos,3 Banheiros,4 Vagas,"Piscina
Elevador
Condomínio fechado
Jardim
Playground
...","R$ 1.750.000
Preço abaixo do mercado",R$ 4.874,Brooklin,2023-07-09 14:17
2637535859,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-138m2-venda-RS1430000-id-2637535859/,"Apartamento com 3 Quartos à Venda, 138m²","Rua Princesa Isabel, 826 - Brooklin, São Paulo - SP",138,3 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Ar-condicionado
Playground
Piscina infantil
...",R$ 1.430.000,R$ 1.979,Brooklin,2023-07-09 14:17
2618028945,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-105m2-venda-RS1030000-id-2618028945/,"Apartamento com 3 Quartos à Venda, 105m²","Rua Nebraska, 251 - Brooklin, São Paulo - SP",105,3 Quartos,3 Banheiros,1 Vaga,"Perto de hospitais
Academia
Churrasqueira
Salão de festas",R$ 1.030.000,R$ 1.000,Brooklin,2023-07-09 14:17
2605665830,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-245m2-venda-RS4300000-id-2605665830/,"Apartamento com 4 Quartos à Venda, 245m²","Rua Arizona, 1281 - Brooklin, São Paulo - SP",245,4 Quartos,5 Banheiros,4 Vagas,Ar-condicionado,R$ 4.300.000,R$ 2.250,Brooklin,2023-07-09 14:17
2621655737,https://www.vivareal.com.br/imovel/apartamento-5-quartos-brooklin-zona-sul-sao-paulo-com-garagem-240m2-venda-RS3190000-id-2621655737/,"Apartamento com 5 Quartos à Venda, 240m²","Rua Barão do Triunfo, 156 - Brooklin, São Paulo - SP",240,5 Quartos,6 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Aceita animais
...",R$ 3.190.000,R$ 2.500,Brooklin,2023-07-09 14:17
2624007687,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-190m2-venda-RS2900000-id-2624007687/,"Apartamento com 4 Quartos à Venda, 190m²","Rua Nova York - Brooklin, São Paulo - SP",190,4 Quartos,2 Banheiros,3 Vagas,,R$ 2.900.000,R$ 2.400,Brooklin,2023-07-09 14:17
2443358894,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-41m2-venda-RS650000-id-2443358894/,"Apartamento com Quarto à Venda, 41m²","Rua Nova York - Brooklin, São Paulo - SP",41,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 650.000,R$ 490,Brooklin,2023-07-09 14:17
2637535859,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-138m2-venda-RS1430000-id-2637535859/,"Apartamento com 3 Quartos à Venda, 138m²","Rua Princesa Isabel, 826 - Brooklin, São Paulo - SP",138,3 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Ar-condicionado
Playground
Piscina infantil
...",R$ 1.430.000,R$ 1.979,Brooklin,2023-07-09 14:17
2618028945,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-105m2-venda-RS1030000-id-2618028945/,"Apartamento com 3 Quartos à Venda, 105m²","Rua Nebraska, 251 - Brooklin, São Paulo - SP",105,3 Quartos,3 Banheiros,1 Vaga,"Perto de hospitais
Academia
Churrasqueira
Salão de festas",R$ 1.030.000,R$ 1.000,Brooklin,2023-07-09 14:17
