,Unnamed: 0,id,url,header,address,amenities,crawler,crawled_at,Quarto,Banheiro,Garagem,condominio,preço,area_limpo,Churrasqueira,Escritório,Perto de hospitais,Área de lazer,Quadra poliesportiva,Quintal,Espaço gourmet,Sala de massagem,TV a cabo,Próximo a shopping,Sistema de alarme,Perto de shopping,Janela grande,Quadra de tênis,Varanda,Depósito,Salão de festas,Acesso para deficientes,Jardim,Condomínio fechado,Área de serviço,Zelador,Armário embutido,Box blindex,Academia,Varanda gourmet,Aquecimento,Perto de vias de acesso,Guarita blindada,Mais de um andar,Copa,Salão de jogos,Vista exterior,Vista para o mar,Elevador,Segurança 24h,Cozinha gourmet,Piscina infantil,Perto de escolas,Porcelanato,Espaço verde / Parque,Ar-condicionado,Cozinha americana,Circuito de segurança,Piscina,Recepção,Serviços públicos essenciais,Portaria 24h,Sala de jantar,Guarita,Sauna,Gerador elétrico,Móvel planejado,Coworking,Energia solar,...,Armário embutido no quarto,Piso frio,Cinema,Mobiliado,Bicicletário,Interfone,Conexão à internet,Aceita animais,Vigia,Playground,Sala de almoço,Piscina para adulto,Cozinha,Lavanderia,Pé direito alto,Closet,Armário na cozinha,Varanda fechada com vidro,Quadra de squash,Dependência de empregados,Arvorismo,Perto de transporte público,Portão eletrônico
3833,3911,2614770688,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-80m2-venda-RS550000-id-2614770688/,"Apartamento com 3 Quartos à Venda, 80m²","Rua Engenheiro João Monteiro da Gama, 40 - Saúde, São Paulo - SP","Interfone, Perto de hospitais, Serviços públicos essenciais, Garagem",saúde,2023-07-15 16:14:00,3,2,1,1400.0,550000,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3834,3912,2579904005,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-67m2-venda-RS767000-id-2579904005/,"Apartamento com 2 Quartos à Venda, 67m²","Avenida Afonso Mariano Fagundes, 417 - Saúde, São Paulo - SP","Piscina, Churrasqueira, Elevador, Condomínio fechado, Academia, ...",saúde,2023-07-15 16:14:00,2,2,0,650.0,767000,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3835,3913,2639757344,https://www.vivareal.com.br/imovel/apartamento-4-quartos-saude-zona-sul-sao-paulo-com-garagem-530m2-venda-RS2300000-id-2639757344/,"Apartamento com 4 Quartos à Venda, 530m²","Rua Vitor Costa - Saúde, São Paulo - SP",,saúde,2023-07-15 16:14:00,4,4,0,4300.0,2300000,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3836,3914,2617416545,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-63m2-venda-RS550000-id-2617416545/,"Apartamento com 2 Quartos à Venda, 63m²","Rua Traituba, 227 - Saúde, São Paulo - SP","Churrasqueira, Elevador, Piscina para adulto, Playground, Salão de festas",saúde,2023-07-15 16:14:00,2,2,0,753.0,550000,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3837,3915,2641065311,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-133m2-venda-RS1600800-id-2641065311/,"Apartamento com 3 Quartos à Venda, 133m²","Alameda das Boninas, 351 - Saúde, São Paulo - SP","Varanda, Área de serviço",saúde,2023-07-15 16:14:00,3,3,0,1100.0,1600800,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3838,3916,2561027139,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-50m2-venda-RS490000-id-2561027139/,"Apartamento com 2 Quartos à Venda, 50m²","Rua Doutor Nogueira Martins - Saúde, São Paulo - SP",,saúde,2023-07-15 16:14:00,2,1,0,673.0,490000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3839,3917,2618026640,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-99m2-venda-RS1200000-id-2618026640/,"Apartamento com 3 Quartos à Venda, 99m²","Rua Engenheiro João Monteiro da Gama, 40 - Saúde, São Paulo - SP","Academia, Área de serviço, Playground, Espaço verde / Parque, Salão de festas, ...",saúde,2023-07-15 16:14:00,3,1,0,1440.0,1200000,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3840,3918,2583751464,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-63m2-venda-RS708000-id-2583751464/,"Apartamento com 2 Quartos à Venda, 63m²","Avenida Miguel Estefno, 112 - Saúde, São Paulo - SP","Academia, Churrasqueira, Playground, Espaço gourmet, Salão de jogos",saúde,2023-07-15 16:14:00,2,2,0,480.0,708000,63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3841,3919,2581198616,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-49m2-venda-RS450000-id-2581198616/,"Apartamento com 2 Quartos à Venda, 49m²","Rua Doutor Nogueira Martins, 420 - Saúde, São Paulo - SP","Piscina, Churrasqueira, Elevador, Aceita animais, Jardim, ...",saúde,2023-07-15 16:14:00,2,1,0,836.0,450000,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842,3920,2625755158,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-76m2-venda-RS1025000-id-2625755158/,"Apartamento com 3 Quartos à Venda, 76m²","Rua Caramuru, 95 - Saúde, São Paulo - SP","Churrasqueira, Piscina, Sauna",saúde,2023-07-15 16:14:00,3,3,0,800.0,1025000,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
